name,type,value,date
孝感,,399,2020-01-29
荆门,,191,2020-01-29
咸宁,,130,2020-01-29
荆州,,151,2020-01-29
随州,,143,2020-01-29
襄阳,,163,2020-01-29
十堰,,119,2020-01-29
鄂州,,123,2020-01-29
黄石,,113,2020-01-29
宜昌,,117,2020-01-29
恩施州,,66,2020-01-29
仙桃,,55,2020-01-29
天门,,44,2020-01-29
潜江,,10,2020-01-29
神农架,,5,2020-01-29
武汉,,2639,2020-01-30
黄冈,,573,2020-01-30
孝感,,541,2020-01-30
荆门,,227,2020-01-30
咸宁,,166,2020-01-30
荆州,,221,2020-01-30
随州,,228,2020-01-30
襄阳,,286,2020-01-30
十堰,,150,2020-01-30
鄂州,,189,2020-01-30
黄石,,168,2020-01-30
宜昌,,167,2020-01-30
恩施州,,75,2020-01-30
仙桃,,90,2020-01-30
天门,,67,2020-01-30
潜江,,12,2020-01-30
神农架,,7,2020-01-30
武汉,,3215,2020-01-31
黄冈,,726,2020-01-31
孝感,,628,2020-01-31
荆门,,251,2020-01-31
咸宁,,206,2020-01-31
荆州,,287,2020-01-31
随州,,304,2020-01-31
襄阳,,347,2020-01-31
十堰,,177,2020-01-31
鄂州,,227,2020-01-31
黄石,,209,2020-01-31
宜昌,,276,2020-01-31
恩施州,,87,2020-01-31
仙桃,,97,2020-01-31
天门,,82,2020-01-31
潜江,,27,2020-01-31
神农架,,7,2020-01-31
武汉,,4109,2020-02-01
黄冈,,1002,2020-02-01
孝感,,749,2020-02-01
荆门,,329,2020-02-01
咸宁,,246,2020-02-01
荆州,,333,2020-02-01
随州,,384,2020-02-01
襄阳,,441,2020-02-01
十堰,,212,2020-02-01
鄂州,,278,2020-02-01
黄石,,252,2020-02-01
宜昌,,353,2020-02-01
恩施州,,105,2020-02-01
仙桃,,140,2020-02-01
天门,,99,2020-02-01
潜江,,35,2020-02-01
神农架,,7,2020-02-01
武汉,,5142,2020-02-02
黄冈,,1246,2020-02-02
孝感,,918,2020-02-02
荆门,,345,2020-02-02
咸宁,,296,2020-02-02
荆州,,499,2020-02-02
随州,,458,2020-02-02
襄阳,,548,2020-02-02
十堰,,256,2020-02-02
鄂州,,306,2020-02-02
黄石,,334,2020-02-02
宜昌,,392,2020-02-02
恩施州,,111,2020-02-02
仙桃,,169,2020-02-02
天门,,115,2020-02-02
潜江,,35,2020-02-02
神农架,,7,2020-02-02
武汉,,6384,2020-02-03
黄冈,,1422,2020-02-03
孝感,,1120,2020-02-03
荆门,,400,2020-02-03
咸宁,,348,2020-02-03
荆州,,613,2020-02-03
随州,,641,2020-02-03
襄阳,,632,2020-02-03
十堰,,291,2020-02-03
鄂州,,332,2020-02-03
黄石,,405,2020-02-03
宜昌,,452,2020-02-03
恩施州,,123,2020-02-03
仙桃,,188,2020-02-03
天门,,117,2020-02-03
潜江,,44,2020-02-03
神农架,,10,2020-02-03
武汉,,8351,2020-02-04
