name,type,value,date
新疆,,10,2020-01-27
中国香港,,8,2020-01-27
中国澳门,,7,2020-01-27
中国台湾,,5,2020-01-27
北京,,91,2020-01-28
天津,,24,2020-01-28
河北,,48,2020-01-28
山西,,27,2020-01-28
内蒙古,,16,2020-01-28
辽宁,,36,2020-01-28
吉林,,9,2020-01-28
黑龙江,,37,2020-01-28
上海,,80,2020-01-28
江苏,,99,2020-01-28
浙江,,296,2020-01-28
安徽,,152,2020-01-28
福建,,82,2020-01-28
江西,,109,2020-01-28
山东,,121,2020-01-28
河南,,206,2020-01-28
湖北,,3554,2020-01-28
湖南,,221,2020-01-28
广东,,241,2020-01-28
广西,,58,2020-01-28
海南,,43,2020-01-28
重庆,,147,2020-01-28
四川,,108,2020-01-28
贵州,,9,2020-01-28
云南,,51,2020-01-28
西藏,,0,2020-01-28
陕西,,46,2020-01-28
甘肃,,24,2020-01-28
青海,,6,2020-01-28
宁夏,,12,2020-01-28
新疆,,13,2020-01-28
中国香港,,8,2020-01-28
中国澳门,,7,2020-01-28
中国台湾,,8,2020-01-28
北京,,111,2020-01-29
天津,,27,2020-01-29
河北,,65,2020-01-29
山西,,35,2020-01-29
内蒙古,,18,2020-01-29
辽宁,,39,2020-01-29
吉林,,14,2020-01-29
黑龙江,,43,2020-01-29
上海,,101,2020-01-29
江苏,,129,2020-01-29
浙江,,428,2020-01-29
安徽,,200,2020-01-29
福建,,101,2020-01-29
江西,,162,2020-01-29
山东,,145,2020-01-29
河南,,278,2020-01-29
湖北,,4586,2020-01-29
湖南,,277,2020-01-29
广东,,311,2020-01-29
广西,,78,2020-01-29
海南,,46,2020-01-29
重庆,,165,2020-01-29
四川,,142,2020-01-29
贵州,,12,2020-01-29
云南,,70,2020-01-29
西藏,,0,2020-01-29
陕西,,56,2020-01-29
甘肃,,26,2020-01-29
青海,,6,2020-01-29
宁夏,,17,2020-01-29
新疆,,14,2020-01-29
中国香港,,10,2020-01-29
中国澳门,,7,2020-01-29
中国台湾,,8,2020-01-29
北京,,132,2020-01-30
天津,,31,2020-01-30
河北,,82,2020-01-30
山西,,39,2020-01-30
内蒙古,,20,2020-01-30
辽宁,,45,2020-01-30
吉林,,14,2020-01-30
黑龙江,,59,2020-01-30
上海,,128,2020-01-30
江苏,,168,2020-01-30
浙江,,537,2020-01-30
安徽,,237,2020-01-30
福建,,120,2020-01-30
江西,,240,2020-01-30
山东,,178,2020-01-30
河南,,352,2020-01-30
湖北,,5806,2020-01-30
湖南,,332,2020-01-30
广东,,393,2020-01-30
广西,,87,2020-01-30
海南,,49,2020-01-30
重庆,,206,2020-01-30
四川,,177,2020-01-30
贵州,,15,2020-01-30
云南,,80,2020-01-30
西藏,,1,2020-01-30
陕西,,63,2020-01-30
甘肃,,29,2020-01-30
青海,,8,2020-01-30
宁夏,,21,2020-01-30
新疆,,17,2020-01-30
中国香港,,12,2020-01-30
中国澳门,,7,2020-01-30
中国台湾,,9,2020-01-30
北京,,156,2020-01-31
天津,,32,2020-01-31
河北,,96,2020-01-31
山西,,47,2020-01-31
内蒙古,,23,2020-01-31
辽宁,,60,2020-01-31
吉林,,17,2020-01-31
黑龙江,,80,2020-01-31
上海,,153,2020-01-31
江苏,,202,2020-01-31
浙江,,599,2020-01-31
安徽,,297,2020-01-31
福建,,144,2020-01-31
江西,,286,2020-01-31
山东,,202,2020-01-31
河南,,422,2020-01-31
湖北,,7153,2020-01-31
湖南,,389,2020-01-31
广东,,520,2020-01-31
广西,,100,2020-01-31
海南,,57,2020-01-31
重庆,,238,2020-01-31
四川,,207,2020-01-31
贵州,,29,2020-01-31
云南,,91,2020-01-31
西藏,,1,2020-01-31
陕西,,86,2020-01-31
甘肃,,35,2020-01-31
青海,,9,2020-01-31
宁夏,,26,2020-01-31
新疆,,18,2020-01-31
中国香港,,13,2020-01-31
中国澳门,,7,2020-01-31
中国台湾,,10,2020-01-31
北京,,183,2020-02-01
天津,,41,2020-02-01
河北,,104,2020-02-01
山西,,56,2020-02-01
内蒙古,,27,2020-02-01
辽宁,,64,2020-02-01
吉林,,23,2020-02-01
黑龙江,,95,2020-02-01
上海,,177,2020-02-01
江苏,,236,2020-02-01
浙江,,661,2020-02-01
安徽,,340,2020-02-01
福建,,159,2020-02-01
江西,,333,2020-02-01
山东,,225,2020-02-01
河南,,493,2020-02-01
湖北,,9074,2020-02-01
湖南,,463,2020-02-01
广东,,604,2020-02-01
广西,,111,2020-02-01
海南,,63,2020-02-01
重庆,,262,2020-02-01
四川,,231,2020-02-01
贵州,,38,2020-02-01
云南,,99,2020-02-01
西藏,,1,2020-02-01
陕西,,101,2020-02-01
甘肃,,40,2020-02-01
青海,,9,2020-02-01
宁夏,,28,2020-02-01
新疆,,21,2020-02-01
中国香港,,14,2020-02-01
中国澳门,,7,2020-02-01
中国台湾,,10,2020-02-01
北京,,212,2020-02-02
天津,,48,2020-02-02
河北,,113,2020-02-02
山西,,66,2020-02-02
内蒙古,,34,2020-02-02
辽宁,,70,2020-02-02
吉林,,31,2020-02-02
黑龙江,,118,2020-02-02
上海,,193,2020-02-02
江苏,,271,2020-02-02
浙江,,724,2020-02-02
安徽,,408,2020-02-02
福建,,179,2020-02-02
江西,,391,2020-02-02
山东,,246,2020-02-02
河南,,566,2020-02-02
湖北,,11177,2020-02-02
湖南,,521,2020-02-02
广东,,683,2020-02-02
广西,,127,2020-02-02
海南,,69,2020-02-02
重庆,,300,2020-02-02
四川,,254,2020-02-02
贵州,,46,2020-02-02
云南,,109,2020-02-02
西藏,,1,2020-02-02
陕西,,116,2020-02-02
甘肃,,51,2020-02-02
青海,,13,2020-02-02
宁夏,,31,2020-02-02
新疆,,24,2020-02-02
中国香港,,15,2020-02-02
中国澳门,,8,2020-02-02
中国台湾,,10,2020-02-02
北京,,228,2020-02-03
天津,,63,2020-02-03
河北,,126,2020-02-03
山西,,74,2020-02-03
内蒙古,,35,2020-02-03
辽宁,,73,2020-02-03
吉林,,42,2020-02-03
黑龙江,,155,2020-02-03
上海,,208,2020-02-03
江苏,,308,2020-02-03
浙江,,829,2020-02-03
安徽,,480,2020-02-03
福建,,194,2020-02-03
江西,,476,2020-02-03
山东,,270,2020-02-03
河南,,675,2020-02-03
湖北,,13522,2020-02-03
湖南,,593,2020-02-03
广东,,797,2020-02-03
广西,,139,2020-02-03
海南,,78,2020-02-03
重庆,,337,2020-02-03
四川,,282,2020-02-03
贵州,,56,2020-02-03
云南,,117,2020-02-03
西藏,,1,2020-02-03
陕西,,128,2020-02-03
甘肃,,55,2020-02-03
青海,,15,2020-02-03
宁夏,,34,2020-02-03
新疆,,29,2020-02-03
中国香港,,15,2020-02-03
中国澳门,,8,2020-02-03
中国台湾,,10,2020-02-03
北京,,253,2020-02-04
天津,,67,2020-02-04
河北,,135,2020-02-04
山西,,81,2020-02-04
内蒙古,,42,2020-02-04
辽宁,,81,2020-02-04
吉林,,54,2020-02-04
黑龙江,,190,2020-02-04
上海,,233,2020-02-04
江苏,,341,2020-02-04
浙江,,895,2020-02-04
安徽,,530,2020-02-04
福建,,205,2020-02-04
江西,,548,2020-02-04
山东,,298,2020-02-04
河南,,764,2020-02-04
湖北,,16678,2020-02-04
湖南,,661,2020-02-04
广东,,870,2020-02-04
广西,,150,2020-02-04
海南,,89,2020-02-04
重庆,,366,2020-02-04
四川,,301,2020-02-04
贵州,,64,2020-02-04
云南,,122,2020-02-04
西藏,,1,2020-02-04
陕西,,142,2020-02-04
甘肃,,57,2020-02-04
青海,,17,2020-02-04
宁夏,,34,2020-02-04
新疆,,32,2020-02-04
中国香港,,18,2020-02-04
中国澳门,,10,2020-02-04
中国台湾,,11,2020-02-04
北京,,274,2020-02-05
